project,year,code_klloc,effective_klloc,issues_created,issues_fixed
archiva,2006,8.118576923076922,8.027900240384616,75,34
archiva,2007,21.919997389033945,21.26139817232376,277,143
archiva,2008,33.72471153846154,33.6608986013986,250,103
archiva,2009,33.54853521126761,31.733985915492962,160,3
archiva,2010,30.245712389380536,30.20455309734513,70,24
archiva,2011,39.2386746031746,39.16726455026455,36,24
archiva,2012,44.426943187066975,43.733228175519635,79,37
archiva,2013,45.90157692307692,45.14495979020979,43,19
archiva,2014,50.038505263157894,48.62725263157895,54,29
archiva,2015,51.15699047619047,51.091990476190475,28,7
archiva,2016,51.271729729729735,51.20672972972973,20,2
archiva,2017,52.59191666666667,52.526916666666665,17,2
calcite,2015,148.79590638297873,148.79590638297873,375,250
calcite,2016,198.57713656387665,154.62028854625552,335,224
calcite,2017,182.26041904761905,162.37926904761906,413,245
cayenne,2008,121.38646607669617,,107,57
cayenne,2009,132.607966873706,,95,62
cayenne,2010,129.05506490384616,,98,53
cayenne,2011,129.93942205323194,130.47175721153846,58,36
cayenne,2012,132.16133796296296,132.61608796296298,69,50
cayenne,2013,131.66965274151437,131.74963446475195,48,34
cayenne,2014,132.94110655737703,133.43122950819674,37,12
cayenne,2015,139.54510869565217,140.3030217391304,28,6
cayenne,2016,143.0472705882353,143.77680000000004,81,3
cayenne,2017,151.9530037037037,152.68007777777777,102,58
commons-bcel,2015,34.102232984293195,28.691662303664923,52,34
commons-bcel,2016,35.8083417721519,30.2433417721519,15,8
commons-bcel,2017,36.02013636363636,30.45513636363636,10,6
commons-beanutils,2007,10.232068376068373,9.708350427350425,18,21
commons-beanutils,2008,10.835854166666666,10.835854166666666,18,7
commons-beanutils,2009,11.316735849056602,11.316735849056602,30,11
commons-beanutils,2010,11.244073170731706,11.244073170731706,6,7
commons-beanutils,2011,10.88,10.88,12,0
commons-beanutils,2012,10.88,10.88,8,0
commons-beanutils,2013,11.139504672897198,11.139504672897198,19,6
commons-beanutils,2014,11.606138461538462,11.606138461538462,10,4
commons-beanutils,2015,11.64,11.64,7,1
commons-beanutils,2016,11.640821052631578,11.640821052631578,13,6
commons-beanutils,2017,11.652894736842102,11.652894736842102,3,1
commons-codec,2007,2.445299999999999,2.4453103448275857,3,1
commons-codec,2008,2.637015151515151,2.637015151515151,5,2
commons-codec,2009,2.8996183206106863,2.8996183206106863,10,8
commons-codec,2010,3.007971428571429,3.007971428571429,7,4
commons-codec,2011,3.8700125391849527,3.8700125391849527,14,14
commons-codec,2012,5.270582995951418,5.270582995951418,18,12
commons-codec,2013,5.787786764705881,5.787786764705881,4,2
commons-codec,2014,6.1762999999999995,6.1762999999999995,12,9
commons-codec,2015,6.596472222222221,6.596472222222221,4,2
commons-codec,2016,7.575384615384617,7.575384615384617,8,6
commons-codec,2017,8.098323232323233,8.098323232323233,6,7
commons-collections,2007,26.362,26.362,16,4
commons-collections,2008,26.48564912280702,26.48564912280702,7,12
commons-collections,2009,22.311140969163,22.311140969163,19,12
