project,year,code_klloc_sum,effective_klloc_sum,code_klloc_median,effective_klloc_median,code_klloc_mean,effective_klloc_mean,issues_created,issues_fixed
archiva,2006,6754.656,6679.213000000001,7.882,7.882,8.118576923076922,8.027900240384616,75,34
archiva,2007,16790.718,16286.231,24.489,23.345,21.919997389033945,21.26139817232376,277,143
archiva,2008,19290.535,19254.034,33.539,33.539,33.72471153846154,33.6608986013986,250,103
archiva,2009,4763.892000000001,4506.226000000001,35.4775,33.894999999999996,33.54853521126761,31.733985915492962,160,3
archiva,2010,6835.531000000001,6826.228999999999,29.566,29.527,30.245712389380536,30.20455309734513,70,24
archiva,2011,44496.657,44415.678,40.718,40.718,39.2386746031746,39.16726455026455,36,24
archiva,2012,96184.332,94682.43900000001,44.332,43.812,44.426943187066975,43.733228175519635,79,37
archiva,2013,26255.701999999997,25822.917,45.046,45.001999999999995,45.90157692307692,45.14495979020979,43,19
archiva,2014,23768.29,23097.945,49.762,49.71,50.038505263157894,48.62725263157895,54,29
archiva,2015,5371.4839999999995,5364.659,50.987,50.922,51.15699047619047,51.091990476190475,28,7
archiva,2016,1897.0540000000003,1894.6490000000001,51.266,51.201,51.271729729729735,51.20672972972973,20,2
archiva,2017,7573.236000000001,7563.876,51.950500000000005,51.8855,52.59191666666667,52.526916666666665,17,2
calcite,2015,69934.076,69934.076,140.32999999999998,140.32999999999998,148.79590638297873,148.79590638297873,375,250
calcite,2016,90154.02,70197.611,199.442,148.674,198.57713656387665,154.62028854625552,335,224
calcite,2017,76549.376,68199.293,169.69299999999998,163.046,182.26041904761905,162.37926904761906,413,245
cayenne,2008,82300.024,0.0,120.773,,121.38646607669617,,107,57
cayenne,2009,64049.648,0.0,131.309,,132.607966873706,,95,62
cayenne,2010,53686.907,0.0,128.817,,129.05506490384616,,98,53
cayenne,2011,68348.136,54276.251,129.909,130.395,129.93942205323194,130.47175721153846,58,36
cayenne,2012,57093.698,57290.15000000001,132.187,132.658,132.16133796296296,132.61608796296298,69,50
cayenne,2013,50429.477,50460.11,131.68,132.151,131.66965274151437,131.74963446475195,48,34
cayenne,2014,32437.629999999997,32557.22,132.54649999999998,133.0385,132.94110655737703,133.43122950819674,37,12
cayenne,2015,19257.225,19361.816999999995,139.6275,140.402,139.54510869565217,140.3030217391304,28,6
cayenne,2016,12159.018,12221.028000000002,142.916,143.648,143.0472705882353,143.77680000000004,81,3
cayenne,2017,41027.311,41223.621,150.052,150.781,151.9530037037037,152.68007777777777,102,58
commons-bcel,2015,13027.053,10960.215,33.978,28.585,34.102232984293195,28.691662303664923,52,34
commons-bcel,2016,5657.718,4778.448,35.811,30.246,35.8083417721519,30.2433417721519,15,8
commons-bcel,2017,2377.3289999999997,2010.0389999999998,36.04,30.475,36.02013636363636,30.45513636363636,10,6
commons-beanutils,2007,1197.1519999999996,1135.8769999999997,10.363,9.626,10.232068376068373,9.708350427350425,18,21
commons-beanutils,2008,520.121,520.121,10.745,10.745,10.835854166666666,10.835854166666666,18,7
commons-beanutils,2009,599.7869999999999,599.7869999999999,11.323,11.323,11.316735849056602,11.316735849056602,30,11
commons-beanutils,2010,461.00699999999995,461.00699999999995,11.375,11.375,11.244073170731706,11.244073170731706,6,7
commons-beanutils,2011,54.400000000000006,54.400000000000006,10.88,10.88,10.88,10.88,12,0
commons-beanutils,2012,10.88,10.88,10.88,10.88,10.88,10.88,8,0
commons-beanutils,2013,1191.9270000000001,1191.9270000000001,11.151,11.151,11.139504672897198,11.139504672897198,19,6
commons-beanutils,2014,754.399,754.399,11.617,11.617,11.606138461538462,11.606138461538462,10,4
commons-beanutils,2015,46.56,46.56,11.64,11.64,11.64,11.64,7,1
commons-beanutils,2016,1105.878,1105.878,11.64,11.64,11.640821052631578,11.640821052631578,13,6
commons-beanutils,2017,442.8099999999999,442.8099999999999,11.644,11.644,11.652894736842102,11.652894736842102,3,1
commons-codec,2007,73.35899999999998,70.91399999999999,2.445,2.445,2.445299999999999,2.4453103448275857,3,1
commons-codec,2008,174.04299999999998,174.04299999999998,2.584,2.584,2.637015151515151,2.637015151515151,5,2
commons-codec,2009,379.8499999999999,379.8499999999999,2.9,2.9,2.8996183206106863,2.8996183206106863,10,8
commons-codec,2010,105.27900000000001,105.27900000000001,2.995,2.995,3.007971428571429,3.007971428571429,7,4
commons-codec,2011,1234.5339999999999,1234.5339999999999,3.581,3.581,3.8700125391849527,3.8700125391849527,14,14
commons-codec,2012,1301.8340000000003,1301.8340000000003,5.568,5.568,5.270582995951418,5.270582995951418,18,12
commons-codec,2013,787.1389999999999,787.1389999999999,5.781,5.781,5.787786764705881,5.787786764705881,4,2
commons-codec,2014,679.3929999999999,679.3929999999999,6.103,6.103,6.1762999999999995,6.1762999999999995,12,9
commons-codec,2015,237.47299999999996,237.47299999999996,6.596,6.596,6.596472222222221,6.596472222222221,4,2
commons-codec,2016,1181.7600000000002,1181.7600000000002,7.366,7.366,7.575384615384617,7.575384615384617,8,6
commons-codec,2017,801.734,801.734,8.109,8.109,8.098323232323233,8.098323232323233,6,7
commons-collections,2007,711.774,711.774,26.347,26.347,26.362,26.362,16,4
commons-collections,2008,1509.682,1509.682,26.49,26.49,26.48564912280702,26.48564912280702,7,12
commons-collections,2009,5064.629000000001,5064.629000000001,20.872,20.872,22.311140969163,22.311140969163,19,12
commons-collections,2010,2095.5070000000005,2095.5070000000005,21.551499999999997,21.551499999999997,21.382724489795923,21.382724489795923,11,4
commons-collections,2011,669.511,669.511,21.599,21.599,21.597129032258064,21.597129032258064,14,7
commons-collections,2012,4332.466,4332.466,21.953,21.953,23.168267379679147,23.168267379679147,31,22
commons-collections,2013,11713.473000000002,11713.473000000002,23.989,23.989,24.151490721649488,24.151490721649488,25,24
commons-collections,2014,1452.1859999999997,1452.1859999999997,25.335,25.335,25.037689655172407,25.037689655172407,19,10
commons-collections,2015,4184.695,4184.695,26.7085,26.7085,26.824967948717948,26.824967948717948,20,14
commons-collections,2016,654.849,654.849,28.533,28.533,28.471695652173914,28.471695652173914,10,2
commons-collections,2017,2198.0499999999993,2198.0499999999993,28.549,28.549,28.546103896103887,28.546103896103887,11,6
commons-compress,2010,1112.776,1112.776,8.192,8.192,8.122452554744527,8.122452554744527,14,17
commons-compress,2011,2220.6769999999997,2220.6769999999997,9.557,9.557,10.04831221719457,10.04831221719457,26,14
commons-compress,2012,1643.7620000000002,1643.7620000000002,11.976,11.976,11.99826277372263,11.99826277372263,26,16
commons-compress,2013,4385.419,4385.419,15.274,15.274,14.916391156462584,14.916391156462584,24,21
commons-compress,2014,3269.8509999999997,3269.8509999999997,17.521,17.521,17.579844086021502,17.579844086021502,26,24
commons-compress,2015,2840.5969999999998,2840.5969999999998,18.516,18.516,18.565993464052287,18.565993464052287,20,15
commons-compress,2016,5147.268,5147.268,19.468,19.468,19.721333333333334,19.721333333333334,25,21
commons-compress,2017,6826.950000000001,6826.950000000001,22.384,22.384,22.093689320388354,22.093689320388354,26,19
commons-configuration,2007,2936.325,2597.881,15.2405,15.157,15.13569587628866,15.103959302325581,40,34
commons-configuration,2008,1549.8980000000001,1539.8539999999996,15.946,15.838,16.66556989247312,16.557569892473115,33,25
commons-configuration,2009,1326.251,1318.7990000000002,19.472,19.364,19.221028985507246,19.11302898550725,25,13
commons-configuration,2010,1230.7170000000006,1224.1289999999995,20.172,20.064,20.17568852459017,20.067688524590157,24,13
commons-configuration,2011,6192.142,6177.8859999999995,18.694,18.694,19.29016199376947,19.2457507788162,28,12
commons-configuration,2012,3641.286,3641.286,19.139,19.139,19.897737704918033,19.897737704918033,27,15
commons-configuration,2013,9027.134999999998,9027.134999999998,22.219,22.219,22.179692874692872,22.179692874692872,22,10
commons-configuration,2014,10065.849,10065.849,26.39,26.39,26.00994573643411,26.00994573643411,13,8
commons-configuration,2015,4216.0790000000015,4216.0790000000015,26.687,26.687,26.684044303797478,26.684044303797478,14,8
commons-configuration,2016,2970.951000000001,2970.951000000001,27.078,27.078,27.008645454545462,27.008645454545462,23,17
commons-configuration,2017,2697.1809999999996,2697.1809999999996,27.6535,27.6535,27.522255102040813,27.522255102040813,12,5
commons-dbcp,2007,613.0010000000001,365.9800000000001,7.266,7.105,7.045988505747127,7.0380769230769245,29,13
commons-dbcp,2008,207.60800000000003,201.22399999999996,7.417,7.189,7.4145714285714295,7.186571428571427,19,7
commons-dbcp,2009,2470.2889999999998,2412.6050000000005,9.984,9.756,9.763988142292488,9.535988142292492,21,21
commons-dbcp,2010,985.2339999999998,962.662,10.119,9.891,9.951858585858584,9.723858585858586,29,9
commons-dbcp,2011,1163.3600000000001,1139.9799999999998,10.2195,10.0195,10.204912280701755,9.999824561403507,17,7
commons-dbcp,2012,184.317,180.71699999999998,10.241,10.041,10.239833333333333,10.039833333333332,14,1
commons-dbcp,2013,1157.226,1134.738,10.371,10.168,10.332375,10.131589285714286,10,5
commons-dbcp,2014,2671.7079999999996,2621.71,11.095,10.892,10.860601626016258,10.657357723577237,16,25
commons-dbcp,2015,1140.001,1119.6589999999999,11.441,11.238,11.40001,11.196589999999999,17,13
commons-dbcp,2016,562.6919999999999,552.745,11.472,11.269,11.48351020408163,11.280510204081633,17,10
commons-dbcp,2017,365.75999999999993,359.4670000000001,11.799,11.596,11.798709677419353,11.595709677419357,2,0
commons-digester,2008,653.9029999999997,515.1080000000001,6.891,5.43,6.883189473684207,5.422189473684211,8,5
commons-digester,2009,48.272,38.045,6.896,5.435,6.896,5.4350000000000005,3,0
commons-digester,2010,888.3770000000001,726.206,8.193,6.732,8.003396396396397,6.542396396396397,5,0
commons-digester,2011,2976.9309999999996,2418.956,11.591,9.4,11.674239215686272,9.486101960784314,8,9
commons-digester,2012,1024.4009999999998,948.5239999999999,12.163,12.163,12.195249999999998,12.006632911392403,10,10
commons-digester,2013,169.75799999999998,169.75799999999998,12.119,12.119,12.125571428571428,12.125571428571428,2,1
commons-digester,2014,36.426,36.426,12.142,12.142,12.142000000000001,12.142000000000001,1,0
commons-digester,2015,24.284,24.284,12.142,12.142,12.142,12.142,2,0
commons-digester,2016,60.709999999999994,60.709999999999994,12.142,12.142,12.142,12.142,1,0
commons-digester,2017,169.94500000000002,169.94500000000002,12.142,12.142,12.138928571428574,12.138928571428574,0,0
commons-imaging,2013,7725.921,7725.921,32.628,32.628,32.32602928870293,32.32602928870293,16,12
commons-imaging,2014,2398.293999999999,2398.293999999999,30.745,30.745,30.74735897435896,30.74735897435896,15,5
commons-imaging,2015,2569.265,2569.265,31.103,31.103,30.955,30.955,14,4
commons-imaging,2016,3410.995,3410.995,31.355,31.355,31.293532110091743,31.293532110091743,16,9
commons-imaging,2017,1349.309,1349.309,31.373,31.373,31.379279069767442,31.379279069767442,8,3
commons-io,2007,403.153,403.153,4.523,4.523,4.529808988764045,4.529808988764045,14,6
commons-io,2008,730.5409999999999,730.5409999999999,5.284,5.284,5.451798507462686,5.451798507462686,13,10
commons-io,2009,178.40300000000002,178.40300000000002,6.644,6.644,6.6075185185185195,6.6075185185185195,17,3
commons-io,2010,1824.143,1824.143,7.25,7.25,7.325875502008032,7.325875502008032,14,27
commons-io,2011,765.8460000000001,765.8460000000001,8.086,8.086,8.061536842105264,8.061536842105264,15,8
commons-io,2012,2461.09,2461.09,8.677,8.677,8.69643109540636,8.69643109540636,29,24
commons-io,2013,1243.114,1243.114,9.017,9.017,9.008072463768116,9.008072463768116,24,17
commons-io,2014,519.8319999999999,519.8319999999999,9.229,9.229,9.282714285714283,9.282714285714283,21,5
commons-io,2015,1217.9969999999998,1217.9969999999998,9.68,9.68,9.666642857142856,9.666642857142856,18,6
commons-io,2016,700.6009999999999,700.6009999999999,9.838,9.838,9.867619718309857,9.867619718309857,16,6
commons-io,2017,510.156,510.156,9.984,9.984,10.003058823529411,10.003058823529411,22,4
commons-jcs,2005,4890.618,0.0,24.6575,,24.453090000000003,,0,1
commons-jcs,2006,3978.238,0.0,25.697,,25.832714285714285,,10,7
commons-jcs,2007,802.7629999999999,0.0,28.684,,28.67010714285714,,17,5
commons-jcs,2008,2204.648,0.0,30.2425,,30.620111111111115,,6,5
commons-jcs,2009,1745.0779999999997,0.0,33.84,,34.21721568627451,,10,5
commons-jcs,2011,1740.749,1264.243,35.507,28.024,35.52548979591837,28.094288888888887,2,6
commons-jcs,2012,1108.5179999999998,878.7769999999998,35.768,28.357,35.75864516129032,28.347645161290316,12,5
commons-jcs,2013,1185.2649999999999,940.702,35.824,28.413,35.91712121212121,28.50612121212121,5,6
commons-jcs,2014,11291.999,9032.439999999999,38.829,30.882,38.5392457337884,30.82744027303754,15,10
commons-jcs,2015,3697.849,2976.3099999999995,40.52,32.591,40.6357032967033,32.70670329670329,14,14
commons-jcs,2016,3884.4269999999997,3115.3140000000003,40.181,32.252,40.045639175257726,32.11663917525774,11,10
commons-jcs,2017,1571.036,1253.8760000000002,39.207,31.278,39.2759,31.346900000000005,13,7
commons-jexl,2007,259.43800000000005,31.468,7.576,7.867,7.630529411764707,7.867,4,1
commons-jexl,2008,135.127,134.141,7.925,7.867,7.94864705882353,7.890647058823529,6,0
commons-jexl,2009,630.928,624.813,5.0905000000000005,5.05,5.171540983606557,5.1214180327868855,14,1
commons-jexl,2010,664.1380000000001,644.74,5.465,5.306,5.443754098360657,5.284754098360656,7,6
commons-jexl,2011,859.1240000000001,840.6800000000001,6.844,6.685,6.818444444444445,6.672063492063493,7,5
commons-jexl,2012,330.3380000000001,330.3380000000001,8.381,8.381,8.47020512820513,8.47020512820513,11,6
